City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,40,2.3,scattered clouds
79,Bredasdorp,ZA,-34.5322,20.0403,78.28,94,14,0.0,few clouds
80,Kavieng,PG,-2.5744,150.7967,83.91,71,89,4.43,overcast clouds
81,Kaitangata,NZ,-46.2817,169.8464,57.92,57,54,8.95,broken clouds
82,Oussouye,SN,12.485,-16.5469,78.98,54,46,4.85,scattered clouds
83,Lebu,CL,-37.6167,-73.65,60.76,66,11,6.73,few clouds
84,New Norfolk,AU,-42.7826,147.0587,75.65,41,65,2.33,broken clouds
85,Lorengau,PG,-2.0226,147.2712,81.82,81,97,5.61,overcast clouds
86,Hailar,CN,49.2,119.7,-15.32,100,99,4.29,overcast clouds
87,Tabou,CI,4.423,-7.3528,78.42,82,5,9.95,clear sky
88,Qaanaaq,GL,77.484,-69.3632,-10.75,84,100,8.5,overcast clouds
89,Parvatsar,IN,26.8833,74.7667,52.3,82,47,7.09,scattered clouds
90,Tigil,RU,57.8,158.6667,-12.71,100,91,3.8,overcast clouds
91,Poggibonsi,IT,43.4724,11.1456,42.93,100,1,2.06,clear sky
92,Ishigaki,JP,24.3448,124.1572,71.73,94,75,13.8,broken clouds
93,Teknaf,BD,20.8624,92.3058,60.55,74,27,3.98,scattered clouds
94,Algiers,DZ,36.7525,3.042,39.02,87,20,4.61,few clouds
95,Kieta,PG,-6.2167,155.6333,84.81,74,27,7.96,light rain
96,Naze,JP,28.3667,129.4833,59.92,79,100,20.15,light rain
97,Zhezkazgan,KZ,47.8043,67.7144,16.47,95,94,4.21,overcast clouds
98,Ilulissat,GL,69.2167,-51.1,3.22,55,29,24.16,scattered clouds
99,Meulaboh,ID,4.1363,96.1285,75.43,88,42,3.49,scattered clouds
100,Hadejia,NG,12.4498,10.0444,63.9,14,2,10.45,clear sky
101,Batemans Bay,AU,-35.7167,150.1833,74.19,65,77,3.53,broken clouds
102,Bluff,NZ,-46.6,168.3333,56.8,64,50,12.8,scattered clouds
103,Bandarbeyla,SO,9.4942,50.8122,76.12,71,98,22.26,overcast clouds
104,Serebryansk,KZ,49.6925,83.2892,-16.29,97,66,4.29,broken clouds
105,Prince George,CA,53.9166,-122.753,37.62,76,0,13.8,clear sky
106,Nerchinskiy Zavod,RU,51.3088,119.61,-20.18,100,96,0.72,overcast clouds
107,Moerai,PF,-22.4333,-151.3333,79.83,74,100,19.51,light rain
108,Kommunisticheskiy,RU,61.6789,64.4819,11.95,97,98,2.35,overcast clouds
109,Uruzgan,AF,32.8333,66.0,25.81,58,0,7.61,clear sky
110,Lyndon,US,38.2567,-85.6016,33.62,48,100,5.01,overcast clouds
111,Ust-Tsilma,RU,65.441,52.1498,-2.58,98,62,4.05,broken clouds
112,Jamestown,US,42.097,-79.2353,24.39,37,100,5.99,overcast clouds
113,Avarua,CK,-21.2078,-159.775,77.05,94,75,16.11,heavy intensity rain
114,Orshanka,RU,56.9161,47.8933,22.78,95,100,10.22,light snow
115,Eltham,NZ,-39.4292,174.3,64.44,44,51,4.65,broken clouds
116,Zaria,NG,11.1113,7.7227,62.98,19,4,10.02,clear sky
117,Challapata,BO,-18.9,-66.7667,53.8,62,87,1.23,light rain
118,Poum,NC,-20.2333,164.0167,80.17,80,66,13.51,broken clouds
119,Ponta Do Sol,PT,32.6667,-17.1,64.71,79,63,4.7,broken clouds
120,Taksimo,RU,56.3444,114.8794,-16.87,95,67,0.76,broken clouds
121,Sinor,IN,21.9167,73.3333,59.0,61,0,5.73,clear sky
122,Mahebourg,MU,-20.4081,57.7,81.25,83,75,11.5,broken clouds
123,Tulle,FR,45.3333,1.8333,29.98,84,4,4.27,clear sky
124,Vaini,TO,-21.2,-175.2,84.36,89,75,9.22,broken clouds
125,Mahon,ES,39.8885,4.2658,45.16,76,75,4.61,broken clouds
